critics_name,critics_cn,movie_name,movie_dir,movie_genre,movie_year,dir_country_cleaned,imdb_score_cleaned
Oggs Cruz ,Philippines,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6
Ken Dancyger ,US,"Crouching Tiger, Hidden Dragon",Ang Lee,"Action, Adventure, Fantasy",2000,Taiwan,7.9
Ken Dancyger ,US,Life of Pi,Ang Lee,"Adventure, Drama, Fantasy",2012,Taiwan,7.9
Peter Debruge ,US,Yi Yi: A One and a Two,Edward Yang,"Drama, Romance",2000,China,8.1
Peter Debruge ,US,Secret Sunshine,Lee Chang-dong,Drama,2007,South Korea,7.5
Fernand Denis ,Belgium,In the Mood for Love,Wong Kar-wai,"Drama, Romance",2000,China,8.1
Fernand Denis ,Belgium,Nobody Knows,Hirokazu Koreeda,Drama,2004,Japan,8.1
Lindiwe Dovey ,UK,Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,"Drama, Fantasy",2010,Thailand,6.6
Lindiwe Dovey ,UK,Hooligan Sparrow,Nanfu Wang,"Documentary, Crime, Drama",2016,China,7.2
Alonso Duralde ,US,Brokeback Mountain,Ang Lee,"Drama, Romance",2005,Taiwan,7.7
Alonso Duralde ,US,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6
Alonso Duralde ,US,In the Mood for Love,Wong Kar-wai,"Drama, Romance",2000,China,8.1
Bilge Ebiri ,US,In the Mood for Love,Wong Kar-wai,"Drama, Romance",2000,China,8.1
Bilge Ebiri ,US,Once Upon a Time in Anatolia,Nuri Bilge Ceylan,"Crime, Drama",2011,Turkey,7.8
David Ehrlich ,US,Yi Yi: A One and a Two,Edward Yang,"Drama, Romance",2000,China,8.1
David Ehrlich ,US,Certified Copy,Abbas Kiarostami,Drama,2010,Iran,7.3
David Ehrlich ,US,The Wind Rises,Hayao Miyazaki,"Animation, Biography, Drama",2013,Japan,7.8
Mario Espinosa ,Cuba,3-Iron,Kim Ki-duk,"Crime, Drama, Romance",2004,South Korea,8.1
Mario Espinosa ,Cuba,The Congress,Ari Folman,"Animation, Drama, Sci-Fi",2013,Israel,6.5
Mario Espinosa ,Cuba,Sympathy for Mr Vengeance,Park Chan-wook,"Action, Drama, Thriller",2002,South Korea,7.7
Joseph Fahim ,Egypt,Yi Yi: A One and a Two,Edward Yang,"Drama, Romance",2000,China,8.1
Joseph Fahim ,Egypt,Still Life,Jia Zhangke,"Comedy, Drama, Romance",2006,China,5.6
Joseph Fahim ,Egypt,Divine Intervention,Elia Suleiman,"Drama, Romance, War",2002,Israel,6.6
Joseph Fahim ,Egypt,Crimson Gold,Jafar Panahi,"Drama, Thriller",2003,Iran,7.5
Devin Faraci ,US,Oldboy,Park Chan-wook,"Action, Drama, Mystery",2003,South Korea,5.8
David Fear ,US,Yi Yi: A One and a Two,Edward Yang,"Drama, Romance",2000,China,8.1
David Fear ,US,In the Mood for Love,Wong Kar-wai,"Drama, Romance",2000,China,8.1
Javier Porta ,Argentina,"Right Now, Wrong Then",Hong Sang-soo,Drama,2015,Korea,7.2
Javier Porta ,Argentina,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6
Kenji Fujishima ,US,The World,Jia Zhangke,Drama,2004,China,7.1
Kenji Fujishima ,US,Pulse,Kiyoshi Kurosawa,"Horror, Sci-Fi, Thriller",2001,Japan,4.7
Kenji Fujishima ,US,Syndromes and a Century,Apichatpong Weerasethakul,Drama,2006,Thailand,7.5
Kenji Fujishima ,US,Love Exposure,Sion Sono,"Action, Comedy, Drama",2008,Japan,8.1
Ernesto Garratt ,Chile,Oldboy,Park Chan-wook,"Action, Drama, Mystery",2003,South Korea,5.8
Steven Gaydos ,US,Three Monkeys,Nuri Bilge Ceylan,Drama,2008,Turkey,7.4
Ed Gonzalez ,US,In the Mood for Love,Wong Kar-wai,"Drama, Romance",2000,China,8.1
Ed Gonzalez ,US,Certified Copy,Abbas Kiarostami,Drama,2010,Iran,7.3
Juan Carlos ,Colombia,In the Mood for Love,Wong Kar-wai,"Drama, Romance",2000,China,8.1
Juan Carlos ,Colombia,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3
Carmen Gray ,Germany,In the Mood for Love,Wong Kar-wai,"Drama, Romance",2000,China,8.1
Tim Grierson ,US,Yi Yi: A One and a Two,Edward Yang,"Drama, Romance",2000,China,8.1
Antoine Guillot ,France,Tropical Malady,Apichatpong Weerasethakul,"Drama, Fantasy, Romance",2004,Thailand,7.3
Antoine Guillot ,France,Tie Xi Qu: West of the Tracks,Wang Bing,Documentary,2002,China,8.6
Antoine Guillot ,France,A Touch of Sin,Jia Zhangke,"Action, Drama",2013,China,7.1
Antoine Guillot ,France,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6
Tom Gunning ,US,Oldboy,Park Chan-wook,"Action, Drama, Mystery",2003,South Korea,5.8
Tom Gunning ,US,The World,Jia Zhangke,Drama,2004,China,7.1
Shubhra Gupta ,India,Ankhon Dekhi,Rajat Kapoor,"Comedy, Drama",2013,India,8.0
Shubhra Gupta ,India,Court,Chaitanya Tamhane,Drama,2014,India,7.7
Shubhra Gupta ,India,"LSD: Love, Sex Aur Dhokha",Dibakar Banerjee,"Comedy, Crime, Drama",2010,India,7.1
Shubhra Gupta ,India,Monsoon Wedding,Mira Nair,"Comedy, Drama, Romance",2001,India,7.4
Shubhra Gupta ,India,Dev D,Anurag Kashyap,"Comedy, Drama, Romance",2009,India,8.1
Shubhra Gupta ,India,Paan Singh Tomar,Tigmanshu Dhulia,"Action, Biography, Crime",2012,India,8.2
Shubhra Gupta ,India,Udaan,Vikramaditya Motwane,Drama,2010,India,8.2
Shubhra Gupta ,India,Hazaaron Khwaishein Aisi,Sudhir Mishra,Drama,2003,India,8.0
Shubhra Gupta ,India,Maqbool,Vishal Bhardwaj,"Crime, Drama",2003,India,8.2
Hauvick Habechian ,Lebanon,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6
Hauvick Habechian ,Lebanon,Once Upon a Time in Anatolia,Nuri Bilge Ceylan,"Crime, Drama",2011,Turkey,7.8
Hauvick Habechian ,Lebanon,In the Mood for Love,Wong Kar-wai,"Drama, Romance",2000,China,8.1
Hauvick Habechian ,Lebanon,Yi Yi: A One and a Two,Edward Yang,"Drama, Romance",2000,China,8.1
Tina Hassannia ,Canada,Stray Dogs,Tsai Ming-liang,"Crime, Drama, Thriller",2013,Malaysia,6.8
Tina Hassannia ,Canada,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3
Tina Hassannia ,Canada,Ten,Abbas Kiarostami,"Action, Crime, Drama",2002,Iran,5.7
Tina Hassannia ,Canada,Closed Curtain,Jafar Panahi,Drama,2013,Iran,6.6
Tina Hassannia ,Canada,Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,"Drama, Fantasy",2010,Thailand,6.6
Shiguehiko Hasumi ,Japan,The Assassin,Hou Hsiao-hsien,"Action, Crime, Drama",2015,China,6.0
Shiguehiko Hasumi ,Japan,Seventh Code,Kiyoshi Kurosawa,"Mystery, Thriller",2013,Japan,5.7
Peter Howell ,Canada,In the Mood for Love,Wong Kar-wai,"Drama, Romance",2000,China,8.1
Peter Howell ,Canada,Certified Copy,Abbas Kiarostami,Drama,2010,Iran,7.3
Annette Insdorf ,US,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3
Annette Insdorf ,US,Where Do We Go Now?,Nadine Labaki,"Comedy, Drama",2011,Lebanon,7.5
Annette Insdorf ,US,Ajami,Scandar Copti and Yaron Shani,"Crime, Drama",2009,Israel,7.4
Aysha Iqbal ,India,Hero,Zhang Yimou,"Action, Adventure, History",2002,China,7.9
Aysha Iqbal ,India,In the Mood for Love,Wong Kar-wai,"Drama, Romance",2000,China,8.1
Aysha Iqbal ,India,Maqbool,Vishal Bhardwaj,"Crime, Drama",2003,India,8.2
Zhanna Issabayeva ,Kazakhstan,Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,"Drama, Fantasy",2010,Thailand,6.6
Zhanna Issabayeva ,Kazakhstan,Coming Home,Zhang Yimou,"Drama, Romance, War",2014,China,7.3
Zhanna Issabayeva ,Kazakhstan,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6
Zhanna Issabayeva ,Kazakhstan,Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,"Drama, Fantasy",2010,Thailand,6.6
Nick James ,UK,In the Mood for Love,Wong Kar-wai,"Drama, Romance",2000,China,8.1
Nick James ,UK,Yi Yi: A One and a Two,Edward Yang,"Drama, Romance",2000,China,8.1
Nick James ,UK,Once Upon a Time in Anatolia,Nuri Bilge Ceylan,"Crime, Drama",2011,Turkey,7.8
David Jenkins ,UK,Millennium Mambo,Hou Hsiao-hsien,"Drama, Romance",2001,China,7.0
Manuel Kalmanovitz ,Colombia,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6
Dominik Kamalzadeh ,Austria,Tropical Malady,Apichatpong Weerasethakul,"Drama, Fantasy, Romance",2004,Thailand,7.3
Dominik Kamalzadeh ,Austria,Platform,Jia Zhangke,"Drama, History",2000,China,7.4
Dominik Kamalzadeh ,Austria,Secret Sunshine,Lee Chang-dong,Drama,2007,South Korea,7.5
Butheina Kazim ,UAE,A Time for Drunken Horses,Bahman Ghobadi,"Drama, War",2000,Iran,7.7
Butheina Kazim ,UAE,Oldboy,Park Chan-wook,"Action, Drama, Mystery",2003,South Korea,5.8
Andreas Kilb ,Germany,In the Mood for Love,Wong Kar-wai,"Drama, Romance",2000,China,8.1
Andreas Kilb ,Germany,Ten,Abbas Kiarostami,"Action, Crime, Drama",2002,Iran,5.7
Andreas Kilb ,Germany,The Circle,Jafar Panahi,"Drama, Sci-Fi, Thriller",2000,Iran,5.3
Uri Klein ,Israel,Once Upon a Time in Anatolia,Nuri Bilge Ceylan,"Crime, Drama",2011,Turkey,7.8
Uri Klein ,Israel,Winter Sleep,Nuri Bilge Ceylan,Drama,2014,Turkey,8.2
Uri Klein ,Israel,Brokeback Mountain,Ang Lee,"Drama, Romance",2005,Taiwan,7.7
Uri Klein ,Israel,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3
Eric Kohn ,US,Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,"Drama, Fantasy",2010,Thailand,6.6
Dan Kois ,US,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6
Dan Kois ,US,Yi Yi: A One and a Two,Edward Yang,"Drama, Romance",2000,China,8.1
Michael Koresky ,US,Syndromes and a Century,Apichatpong Weerasethakul,Drama,2006,Thailand,7.5
Michael Koresky ,US,What Time Is It There?,Tsai Ming-liang,"Drama, Romance",2001,Malaysia,7.3
Tomris Laffly ,US,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3
Rebecca Laurence ,UK,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3
Rebecca Laurence ,UK,In the Mood for Love,Wong Kar-wai,"Drama, Romance",2000,China,8.1
Maggie Lee ,US,Yi Yi: A One and a Two,Edward Yang,"Drama, Romance",2000,China,8.1
Maggie Lee ,US,Café Lumière,Hou Hsiao-hsien,Drama,2003,China,7.0
Maggie Lee ,US,In the Mood for Love,Wong Kar-wai,"Drama, Romance",2000,China,8.1
Maggie Lee ,US,Millennium Actress,Satoshi Kon,"Animation, Drama, Fantasy",2001,Japan,7.9
Maggie Lee ,US,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6
Maggie Lee ,US,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3
Guy Lodge ,UK,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6
Mario Naito ,Cuba,In the Mood for Love,Wong Kar-wai,"Drama, Romance",2000,China,8.1
Mario Naito ,Cuba,"Spring, Summer, Fall, Winter…and Spring",Kim Ki-duk,"Drama, Romance",2003,South Korea,8.1
Verena Lueken ,Germany,In the Mood for Love,Wong Kar-wai,"Drama, Romance",2000,China,8.1
Verena Lueken ,Germany,Tropical Malady,Apichatpong Weerasethakul,"Drama, Fantasy, Romance",2004,Thailand,7.3
Verena Lueken ,Germany,The Assassin,Hou Hsiao-hsien,"Action, Crime, Drama",2015,China,6.0
Verena Lueken ,Germany,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6
Fiona Macdonald ,UK,In the Mood for Love,Wong Kar-wai,"Drama, Romance",2000,China,8.1
Laya Maheshwari ,India,Once Upon a Time in Anatolia,Nuri Bilge Ceylan,"Crime, Drama",2011,Turkey,7.8
Laya Maheshwari ,India,House of Flying Daggers,Zhang Yimou,"Action, Adventure, Drama",2004,China,7.6
Laya Maheshwari ,India,Waltz with Bashir,Ari Folman,"Animation, Biography, Drama",2008,Israel,8.0
Ben Mankiewicz ,US,The Gatekeepers,Dror Moreh,"Documentary, History, War",2012,Israel,7.6
Ben Mankiewicz ,US,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3
Calum Marsh ,Canada,Millennium Mambo,Hou Hsiao-hsien,"Drama, Romance",2001,China,7.0
Calum Marsh ,Canada,Woman on the Beach,Hong Sang-soo,"Comedy, Drama, Romance",2006,Korea,7.0
Lee Marshall ,Italy,Yi Yi: A One and a Two,Edward Yang,"Drama, Romance",2000,China,8.1
Lee Marshall ,Italy,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6
Lee Marshall ,Italy,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3
Adrian Martin ,Australia,Certified Copy,Abbas Kiarostami,Drama,2010,Iran,7.3
Adrian Martin ,Australia,Kung Fu Hustle,Stephen Chow,"Action, Comedy, Crime",2004,China,7.8
Antonio Martínez ,Chile,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6
Todd McCarthy ,US,Brokeback Mountain,Ang Lee,"Drama, Romance",2005,Taiwan,7.7
Joe McElhaney ,US,Café Lumière,Hou Hsiao-hsien,Drama,2003,China,7.0
Drew McWeeny ,US,"Crouching Tiger, Hidden Dragon",Ang Lee,"Action, Adventure, Fantasy",2000,Taiwan,7.9
Kim Morgan ,US,Battle Royale,Kinji Fukasaku,"Adventure, Drama, Sci-Fi",2000,Japan,7.7
Farran Smith ,US,Yi Yi: A One and a Two,Edward Yang,"Drama, Romance",2000,China,8.1
Farran Smith ,US,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3
Farran Smith ,US,About Elly,Asghar Farhadi,"Drama, Mystery, Thriller",2009,Iran,8.1
Joe Neumaier ,US,"Crouching Tiger, Hidden Dragon",Ang Lee,"Action, Adventure, Fantasy",2000,Taiwan,7.9
Ong Soh ,Singapore,Oldboy,Park Chan-wook,"Action, Drama, Mystery",2003,South Korea,5.8
Ong Soh ,Singapore,The Circle,Jafar Panahi,"Drama, Sci-Fi, Thriller",2000,Iran,5.3
Ong Soh ,Singapore,Mother,Bong Joon-ho,"Drama, Horror, Mystery",2009,South Korea,6.7
Susanne Ostwald ,Switzerland,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3
Susanne Ostwald ,Switzerland,Winter Sleep,Nuri Bilge Ceylan,Drama,2014,Turkey,8.2
Susanne Ostwald ,Switzerland,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6
Matthew Patches ,US,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6
Matthew Patches ,US,Memories of Murder,Bong Joon-ho,"Action, Crime, Drama",2003,South Korea,8.1
Steve Persall ,US,Brokeback Mountain,Ang Lee,"Drama, Romance",2005,Taiwan,7.7
Michael Phillips ,US,Climates,Nuri Bilge Ceylan,Drama,2006,Turkey,7.3
Michael Phillips ,US,Poetry,Lee Chang-dong,Drama,2010,South Korea,7.8
Keith Phipps ,US,Yi Yi: A One and a Two,Edward Yang,"Drama, Romance",2000,China,8.1
Keith Phipps ,US,In the Mood for Love,Wong Kar-wai,"Drama, Romance",2000,China,8.1
Keith Phipps ,US,Certified Copy,Abbas Kiarostami,Drama,2010,Iran,7.3
Hannah Pilarczyk ,Germany,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6
Agnès C ,France,Winter Sleep,Nuri Bilge Ceylan,Drama,2014,Turkey,8.2
Agnès C ,France,Oasis,Lee Chang-dong,"Drama, Sci-Fi",2002,South Korea,8.2
Agnès C ,France,Oldboy,Park Chan-wook,"Action, Drama, Mystery",2003,South Korea,5.8
Claudia Puig ,US,"Crouching Tiger, Hidden Dragon",Ang Lee,"Action, Adventure, Fantasy",2000,Taiwan,7.9
Zakir Hossein ,Bangladesh,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3
Zakir Hossein ,Bangladesh,"Spring, Summer, Fall, Winter…and Spring",Kim Ki-duk,"Drama, Romance",2003,South Korea,8.1
Zakir Hossein ,Bangladesh,In the Mood for Love,Wong Kar-wai,"Drama, Romance",2000,China,8.1
Zakir Hossein ,Bangladesh,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6
Zakir Hossein ,Bangladesh,Brokeback Mountain,Ang Lee,"Drama, Romance",2005,Taiwan,7.7
Zakir Hossein ,Bangladesh,Oldboy,Park Chan-wook,"Action, Drama, Mystery",2003,South Korea,5.8
Zakir Hossein ,Bangladesh,Ten,Abbas Kiarostami,"Action, Crime, Drama",2002,Iran,5.7
Zakir Hossein ,Bangladesh,Once Upon a Time in Anatolia,Nuri Bilge Ceylan,"Crime, Drama",2011,Turkey,7.8
Alberto Ramos ,Cuba,Uncle Boonmee Who Can Recall His Past Lives,Apichatpong Weerasethakul,"Drama, Fantasy",2010,Thailand,6.6
Jordan Raup ,US,In the Mood for Love,Wong Kar-wai,"Drama, Romance",2000,China,8.1
Isabelle Regnier ,France,Tie Xi Qu: West of the Tracks,Wang Bing,Documentary,2002,China,8.6
Isabelle Regnier ,France,Platform,Jia Zhangke,"Drama, History",2000,China,7.4
Isabelle Regnier ,France,Shara,Naomi Kawase,Drama,2003,Japan,7.7
Isabelle Regnier ,France,Ten,Abbas Kiarostami,"Action, Crime, Drama",2002,Iran,5.7
Mauricio Reina ,Colombia,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3
Scott Renshaw ,US,Certified Copy,Abbas Kiarostami,Drama,2010,Iran,7.3
Scott Renshaw ,US,In the Mood for Love,Wong Kar-wai,"Drama, Romance",2000,China,8.1
Katey Rich ,US,In the Mood for Love,Wong Kar-wai,"Drama, Romance",2000,China,8.1
Carrie Rickey ,US,"Crouching Tiger, Hidden Dragon",Ang Lee,"Action, Adventure, Fantasy",2000,Taiwan,7.9
Carrie Rickey ,US,The Namesake,Mira Nair,Drama,2006,India,7.5
Carrie Rickey ,US,Paradise Now,Hany Abu-Assad,"Crime, Drama, Thriller",2005,Israel,7.5
Sam Rigby ,UK,Brokeback Mountain,Ang Lee,"Drama, Romance",2005,Taiwan,7.7
Antonio Mazón ,Cuba,In the Mood for Love,Wong Kar-wai,"Drama, Romance",2000,China,8.1
Antonio Mazón ,Cuba,Waltz with Bashir,Ari Folman,"Animation, Biography, Drama",2008,Israel,8.0
Antonio Mazón ,Cuba,Oldboy,Park Chan-wook,"Action, Drama, Mystery",2003,South Korea,5.8
Tasha Robinson ,US,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6
Rene Rodriguez ,US,In the Mood for Love,Wong Kar-wai,"Drama, Romance",2000,China,8.1
Rene Rodriguez ,US,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6
Rene Rodriguez ,US,Yi Yi: A One and a Two,Edward Yang,"Drama, Romance",2000,China,8.1
Rene Rodriguez ,US,A Separation,Asghar Farhadi,"Drama, Mystery",2011,Iran,8.3
Jonathan Romney ,UK,Syndromes and a Century,Apichatpong Weerasethakul,Drama,2006,Thailand,7.5
Jonathan Romney ,UK,"Goodbye, Dragon Inn",Tsai Ming-liang,"Drama, Comedy",2003,Malaysia,7.1
Alyssa Rosenberg ,US,"Crouching Tiger, Hidden Dragon",Ang Lee,"Action, Adventure, Fantasy",2000,Taiwan,7.9
Alyssa Rosenberg ,US,Spirited Away,Hayao Miyazaki,"Animation, Adventure, Family",2001,Japan,8.6
Alyssa Rosenberg ,US,2046,Wong Kar-wai,"Drama, Romance, Sci-Fi",2004,China,7.5
E Nina ,Italy,Caramel,Nadine Labaki,"Comedy, Drama, Romance",2007,Lebanon,7.1
E Nina ,Italy,Taxi Tehran,Jafar Panahi,"Comedy, Drama",2015,Iran,7.3
E Nina ,Italy,A Borrowed Identity,Eran Riklis,Drama,2014,Israel,7.2
E Nina ,Italy,Brokeback Mountain,Ang Lee,"Drama, Romance",2005,Taiwan,7.7
E Nina ,Italy,About Elly,Asghar Farhadi,"Drama, Mystery, Thriller",2009,Iran,8.1
Joshua Rothkopf ,US,In the Mood for Love,Wong Kar-wai,"Drama, Romance",2000,China,8.1
Joshua Rothkopf ,US,Yi Yi: A One and a Two,Edward Yang,"Drama, Romance",2000,China,8.1
Mohammed Rouda ,Lebanon,Paradise Now,Hany Abu-Assad,"Crime, Drama, Thriller",2005,Israel,7.5
